question_id,level,round,arm,position,status,valid,duration_ms,law_ids,selection_chars_before,selection_chars_after
l2-056-id-data-rights,20,1,combined,4,ok,1,29121.301,1,7751,4420
l2-057-id-breach,20,1,combined,4,ok,1,47521.433,2,6849,2599
l2-060-id-worker,20,1,combined,4,ok,1,41984.738,1,11993,6920
l2-061-my-data-rights,20,1,combined,4,ok,1,38906.803,1,12115,5226
l2-064-my-consumer,20,1,combined,4,ok,1,35515.374,4,5533,2939
l2-066-ph-data-rights,20,1,combined,4,ok,1,40859.715,1,8389,5135
l2-067-ph-breach,20,1,combined,4,ok,1,42814.706,2,22467,8201
l2-068-ph-transfer,20,1,combined,4,ok,1,36682.816,1,17208,7814
l2-070-ph-worker,20,1,combined,4,ok,1,47565.655,1,15929,7460
l2-071-in-data-rights,20,1,combined,4,ok,1,27983.397,1,18462,5881
l2-072-in-breach,20,1,combined,4,ok,1,35422.647,3,15304,4648
l2-073-in-transfer,20,1,combined,4,ok,1,31717.107,2,13023,4151
l2-081-es-data-rights,20,1,combined,4,ok,1,31004.935,2,12886,7471
l2-082-es-breach,20,1,combined,4,ok,1,23959.509,3,13299,2708
l2-083-es-transfer,20,1,combined,4,ok,1,31496.476,2,23525,9554
l2-084-es-consumer,20,1,combined,4,ok,1,33146.333,4,19285,7712
l2-085-es-worker,20,1,combined,4,ok,1,34674.629,2,15423,7315
l2-086-it-data-rights,20,1,combined,4,ok,1,2332.104,0,,
l2-087-it-breach,20,1,combined,4,ok,1,3088.929,0,,
l2-088-it-transfer,20,1,combined,4,ok,1,3319.261,0,,
l2-089-it-consumer,20,1,combined,4,ok,1,4550.474,0,,
l2-090-it-worker,20,1,combined,4,ok,1,4547.936,0,,
l2-091-nl-data-rights,20,1,combined,4,ok,1,3128.802,0,,
l2-092-nl-breach,20,1,combined,4,ok,1,3443.559,0,,
l2-096-nz-data-rights,20,1,combined,4,ok,1,18884.098,2,10443,3245
l2-100-nz-worker,20,1,combined,4,ok,1,21591.419,3,7221,4778
l3-001-jp-transfer,20,1,combined,4,ok,1,119053.064,2,8093,3479
l3-002-jp-breach,20,1,combined,4,ok,1,121781.043,3,12712,6670
l3-005-jp-worker-ai,20,1,combined,4,ok,1,40896.385,2,4400,2110
l3-007-us-breach,20,1,combined,4,ok,1,63804.384,4,10071,4196
l3-008-us-consumer,20,1,combined,4,ok,1,48132.524,4,9845,4022
l3-010-us-worker-ai,20,1,combined,4,ok,1,36833.468,2,20737,5521
l3-011-cn-transfer,20,1,combined,4,ok,1,64911.742,3,12753,5244
l3-013-cn-consumer,20,1,combined,4,ok,1,41352.09,2,16079,6858
l3-014-cn-platform,20,1,combined,4,ok,1,69749.285,3,1482,703
l3-015-cn-worker-ai,20,1,combined,4,ok,1,47396.196,2,8470,2983
l3-016-de-transfer,20,1,combined,4,ok,1,62664.319,2,12753,5244
l3-018-de-consumer,20,1,combined,4,ok,1,53690.595,4,10007,4403
l3-019-de-platform,20,1,combined,4,ok,1,58075.869,5,12938,5495
l3-020-de-worker-ai,20,1,combined,4,ok,1,46249.949,2,8366,3044
l3-023-fr-consumer,20,1,combined,4,ok,1,87336.096,3,18723,6787
l3-025-fr-worker-ai,20,1,combined,4,ok,1,48286.892,3,22178,11364
l3-026-uk-transfer,20,1,combined,4,ok,1,56604.032,3,9652,2499
l3-028-uk-consumer,20,1,combined,4,ok,1,52486.481,3,7451,4280
l3-030-uk-worker-ai,20,1,combined,4,ok,1,49595.565,3,14921,4575
l3-032-ca-breach,20,1,combined,4,ok,1,41990.664,6,10197,4509
l3-033-ca-consumer,20,1,combined,4,ok,1,48630.963,2,3365,1653
l3-037-au-breach,20,1,combined,4,ok,1,52958.918,2,4758,2226
l3-039-au-platform,20,1,combined,4,ok,1,69548.141,2,22450,9632
l3-041-sg-transfer,20,1,combined,4,ok,1,91132.231,2,27083,7735
l3-043-sg-consumer,20,1,combined,4,ok,1,51849.789,2,4226,2147
l3-045-sg-worker-ai,20,1,combined,4,ok,1,3496.896,0,,
l3-046-vn-transfer,20,1,combined,4,ok,1,57342.229,3,9994,6718
l3-047-vn-breach,20,1,combined,4,ok,1,61378.017,4,8210,3522
l3-053-th-consumer,20,1,combined,4,ok,1,51338.757,2,11856,4671
l3-054-th-platform,20,1,combined,4,ok,1,2764.114,0,,
l3-056-id-transfer,20,1,combined,4,ok,1,51966.323,2,8057,3697
l3-057-id-breach,20,1,combined,4,ok,1,54475.055,3,19686,8451
l3-058-id-consumer,20,1,combined,4,ok,1,48303.946,2,19316,6975
l3-059-id-platform,20,1,combined,4,ok,1,3740.587,0,,
l3-062-my-breach,20,1,combined,4,ok,1,49681.1,1,13195,7108
l3-063-my-consumer,20,1,combined,4,ok,1,5466.738,0,,
l3-065-my-worker-ai,20,1,combined,4,ok,1,69419.125,2,13820,5314
l3-066-ph-transfer,20,1,combined,4,ok,1,78814.545,2,11631,3197
l3-067-ph-breach,20,1,combined,4,ok,1,54827.214,2,13048,5349
l3-072-in-breach,20,1,combined,4,ok,1,7874.934,0,,
l3-073-in-consumer,20,1,combined,4,ok,1,40541.383,3,4404,2535
l3-075-in-worker-ai,20,1,combined,4,ok,1,44078.885,2,14915,4575
l3-078-br-consumer,20,1,combined,4,ok,1,67455.261,1,6798,3460
l3-079-br-platform,20,1,combined,4,ok,1,53300.057,2,18698,6718
l3-081-es-transfer,20,1,combined,4,ok,1,5762.716,0,,
l3-082-es-breach,20,1,combined,4,ok,1,126771.501,2,23909,10371
l3-088-it-consumer,20,1,combined,4,ok,1,5081.993,0,,
l3-092-nl-breach,20,1,combined,4,ok,1,5450.746,0,,
l3-098-nz-consumer,20,1,combined,4,ok,1,38150.963,3,7923,2982
l3-100-nz-worker-ai,20,1,combined,4,ok,1,138296.319,4,18432,9322
l4-001-jp-digital-platform,20,1,combined,4,ok,1,44705.933,3,14133,7100
l4-004-jp-fintech,20,1,combined,4,ok,1,35710.783,5,5369,3439
l4-008-us-online-sales,20,1,combined,4,ok,1,38208.797,3,9843,4759
l4-009-us-fintech,20,1,combined,4,ok,1,41733.984,6,12266,4474
l4-012-cn-automated-hiring,20,1,combined,4,ok,1,52813.661,5,7839,5213
l4-015-cn-manufacturer,20,1,combined,4,ok,1,37522.548,6,4731,3238
l4-016-de-digital-platform,20,1,combined,4,ok,1,32917.821,3,17609,3249
l4-020-de-manufacturer,20,1,combined,4,ok,1,33706.87,5,9280,3598
l4-021-fr-digital-platform,20,1,combined,4,ok,1,42377.928,2,21547,8921
l4-022-fr-automated-hiring,20,1,combined,4,ok,1,40500.274,3,22819,6973
l4-023-fr-online-sales,20,1,combined,4,ok,1,43206.026,5,19367,8204
l4-024-fr-fintech,20,1,combined,4,ok,1,29293.862,1,20890,7223
l4-027-uk-automated-hiring,20,1,combined,4,ok,1,44069.48,2,9470,5783
l4-029-uk-fintech,20,1,combined,4,ok,1,41204.104,3,6141,2202
l4-032-ca-automated-hiring,20,1,combined,4,ok,1,40572.218,5,15596,6459
l4-034-ca-fintech,20,1,combined,4,ok,1,27193.016,2,4179,1468
l4-036-au-digital-platform,20,1,combined,4,ok,1,71445.076,3,16796,5267
l4-038-au-online-sales,20,1,combined,4,ok,1,34379.806,1,9684,4649
l4-039-au-fintech,20,1,combined,4,ok,1,47952.446,3,15470,4977
l4-040-au-manufacturer,20,1,combined,4,ok,1,41327.057,4,8199,4113
l4-044-sg-fintech,20,1,combined,4,ok,1,45928.86,4,24362,9085
l4-045-sg-manufacturer,20,1,combined,4,ok,1,34831.727,3,2864,1827
l4-051-th-digital-platform,20,1,combined,4,ok,1,36010.895,3,11176,7301
l4-054-th-fintech,20,1,combined,4,ok,1,28345.045,3,3924,2666
l4-055-th-manufacturer,20,1,combined,4,ok,1,37667.763,3,2907,1436
l4-058-id-online-sales,20,1,combined,4,ok,1,39870.406,3,8321,4835
l4-059-id-fintech,20,1,combined,4,ok,1,44754.002,4,18233,7305
l4-063-my-online-sales,20,1,combined,4,ok,1,50121.848,3,5223,3468
l4-065-my-manufacturer,20,1,combined,4,ok,1,31712.86,2,4845,3022
l4-067-ph-automated-hiring,20,1,combined,4,ok,1,39648.335,3,5508,3273
l4-069-ph-fintech,20,1,combined,4,ok,1,38744.413,3,8262,4289
l4-070-ph-manufacturer,20,1,combined,4,ok,1,49561.002,8,8293,5373
l4-071-in-digital-platform,20,1,combined,4,ok,1,50083.846,2,22516,10524
l4-072-in-automated-hiring,20,1,combined,4,ok,1,64147.847,5,10554,3888
l4-075-in-manufacturer,20,1,combined,4,ok,1,30317.402,2,4666,2731
l4-080-br-manufacturer,20,1,combined,4,ok,1,39744.504,4,6429,4302
l4-081-es-digital-platform,20,1,combined,4,ok,1,33698.652,2,12843,6199
l4-082-es-automated-hiring,20,1,combined,4,ok,1,30062.478,1,16103,8398
l4-083-es-online-sales,20,1,combined,4,ok,1,41959.74,3,19148,9584
l4-088-it-online-sales,20,1,combined,4,ok,1,3238.079,0,,
l4-089-it-fintech,20,1,combined,4,ok,1,3053.831,0,,
l4-090-it-manufacturer,20,1,combined,4,ok,1,4455.641,0,,
l4-092-nl-automated-hiring,20,1,combined,4,ok,1,4948.501,0,,
l4-093-nl-online-sales,20,1,combined,4,ok,1,3638.675,0,,
l4-094-nl-fintech,20,1,combined,4,ok,1,2549.466,0,,
l4-095-nl-manufacturer,20,1,combined,4,ok,1,3172.849,0,,
l4-096-nz-digital-platform,20,1,combined,4,ok,1,35299.036,3,5786,3435
l4-097-nz-automated-hiring,20,1,combined,4,ok,1,82839.716,4,7518,4178
l4-099-nz-fintech,20,1,combined,4,ok,1,38778.916,2,18660,3462
l4-100-nz-manufacturer,20,1,combined,4,ok,1,51594.659,3,11538,7956
l1-001-jp,20,1,direct,2,ok,1,60694.966,5,7288,7288
l1-002-jp,20,1,direct,2,ok,1,77970.389,2,10180,10180
l1-003-jp,20,1,direct,2,ok,1,66903.541,1,9238,9238
l1-005-jp,20,1,direct,2,ok,1,62639.301,4,2426,2426
l1-010-us,20,1,direct,2,ok,1,50361.074,2,14100,14100
l1-012-cn,20,1,direct,2,ok,1,66362.967,2,6783,6783
l1-013-cn,20,1,direct,2,ok,1,62847.867,1,6991,6991
l1-018-de,20,1,direct,2,ok,1,57172.5,2,9933,9933
l1-019-de,20,1,direct,2,ok,1,45097.08,1,23400,23400
l1-023-fr,20,1,direct,2,ok,1,86091.479,1,26211,26211
l1-024-fr,20,1,direct,2,ok,1,61580.031,3,17877,17877
l1-025-fr,20,1,direct,2,ok,1,47033.535,4,13199,13199
l1-027-uk,20,1,direct,2,ok,1,64304.883,2,6148,6148
l1-031-ca,20,1,direct,2,ok,1,50778.68,4,9753,9753
l1-032-ca,20,1,direct,2,ok,1,48176.04,1,2328,2328
l1-033-ca,20,1,direct,2,ok,1,54583.364,3,7197,7197
l1-035-ca,20,1,direct,2,ok,1,75351.269,1,9148,9148
l1-036-au,20,1,direct,2,ok,1,68543.509,5,23747,23747
l1-037-au,20,1,direct,2,ok,1,41021.903,2,6135,6135
l1-038-au,20,1,direct,2,ok,1,72806.277,5,27052,27052
l1-039-au,20,1,direct,2,ok,1,40430.873,1,10110,10110
l1-040-au,20,1,direct,2,ok,1,45199.209,3,24374,24374
l1-041-sg,20,1,direct,2,ok,1,59210.052,1,17319,17319
l1-042-sg,20,1,direct,2,ok,1,50086.874,2,18165,18165
l1-044-sg,20,1,direct,2,ok,1,58912.438,3,10069,10069
l1-046-vn,20,1,direct,2,ok,1,52558.493,1,789,789
l1-049-vn,20,1,direct,2,ok,1,72136.736,2,3499,3499
l1-050-vn,20,1,direct,2,ok,1,48359.74,4,11069,11069
l1-051-th,20,1,direct,2,ok,1,61649.899,1,7247,7247
l1-052-th,20,1,direct,2,ok,1,60497.023,1,9447,9447
l1-053-th,20,1,direct,2,ok,1,69294.074,1,12821,12821
l1-054-th,20,1,direct,2,ok,1,98495.716,2,11230,11230
l1-055-th,20,1,direct,2,ok,1,72691.008,2,8940,8940
l1-059-id,20,1,direct,2,ok,1,95653.097,1,11312,11312
l1-060-id,20,1,direct,2,ok,1,44610.259,3,4549,4549
l1-062-my,20,1,direct,2,ok,1,96622.721,1,12785,12785
l1-065-my,20,1,direct,2,ok,1,64000.941,3,8238,8238
l1-068-ph,20,1,direct,2,ok,1,67690.977,1,17211,17211
l1-070-ph,20,1,direct,2,ok,1,40886.294,3,21636,21636
l1-075-in,20,1,direct,2,ok,1,56243.774,1,14522,14522
l1-078-br,20,1,direct,2,ok,1,32822.994,1,3690,3690
l1-081-es,20,1,direct,2,ok,1,98294.059,3,19919,19919
l1-082-es,20,1,direct,2,ok,1,60053.513,5,12552,12552
l1-085-es,20,1,direct,2,ok,1,65787.091,1,6458,6458
l1-091-nl,20,1,direct,2,ok,1,24492.518,0,,
l1-092-nl,20,1,direct,2,ok,1,40713.704,0,,
l1-094-nl,20,1,direct,2,ok,1,27432.796,0,,
l1-095-nl,20,1,direct,2,ok,1,21780.546,0,,
l1-097-nz,20,1,direct,2,ok,1,53547.217,3,11822,11822
l1-098-nz,20,1,direct,2,ok,1,39650.625,1,9519,9519
l2-001-jp-data-rights,20,1,direct,2,ok,1,63183.508,1,6424,6424
l2-002-jp-breach,20,1,direct,2,ok,1,61168.888,2,3885,3885
l2-003-jp-transfer,20,1,direct,2,ok,1,76810.349,2,13808,13808
l2-010-us-worker,20,1,direct,2,ok,1,39156.52,4,15612,15612
l2-013-cn-transfer,20,1,direct,2,ok,1,51607.685,1,12490,12490
l2-017-de-breach,20,1,direct,2,ok,1,52003.334,2,8722,8722
l2-022-fr-breach,20,1,direct,2,ok,1,45915.799,2,13589,13589
l2-024-fr-consumer,20,1,direct,2,ok,1,56653.77,3,18610,18610
l2-026-uk-data-rights,20,1,direct,2,ok,1,52740.885,3,3669,3669
l2-029-uk-consumer,20,1,direct,2,ok,1,55705.921,2,18523,18523
l2-034-ca-consumer,20,1,direct,2,ok,1,30401.714,1,4183,4183
l2-035-ca-worker,20,1,direct,2,ok,1,53694.552,2,12496,12496
l2-036-au-data-rights,20,1,direct,2,ok,1,50086.081,2,12681,12681
l2-038-au-transfer,20,1,direct,2,ok,1,66675.575,2,19625,19625
l2-039-au-consumer,20,1,direct,2,ok,1,47457.572,3,9500,9500
l2-040-au-worker,20,1,direct,2,ok,1,50170.889,2,4057,4057
l2-045-sg-worker,20,1,direct,2,ok,1,44582.736,1,11064,11064
l2-046-vn-data-rights,20,1,direct,2,ok,1,42924.839,2,11420,11420
l2-047-vn-breach,20,1,direct,2,ok,1,50621.872,5,11519,11519
l2-051-th-data-rights,20,1,direct,2,ok,1,50704.092,1,8705,8705
l2-052-th-breach,20,1,direct,2,ok,1,59030.254,2,7595,7595
l2-053-th-transfer,20,1,direct,2,ok,1,57349.225,1,10563,10563
l2-054-th-consumer,20,1,direct,2,ok,1,53571.913,2,5633,5633
l2-055-th-worker,20,1,direct,2,ok,1,57371.334,4,9356,9356
l2-056-id-data-rights,20,1,direct,2,ok,1,79498.645,1,7751,7751
l2-057-id-breach,20,1,direct,2,ok,1,47398.382,2,6847,6847
l2-060-id-worker,20,1,direct,2,ok,1,70458.062,1,11993,11993
l2-061-my-data-rights,20,1,direct,2,ok,1,57428.188,1,12630,12630
l2-064-my-consumer,20,1,direct,2,ok,1,53298.889,4,5533,5533
l2-066-ph-data-rights,20,1,direct,2,ok,1,63606.047,1,8395,8395
l2-067-ph-breach,20,1,direct,2,ok,1,45701.77,2,22463,22463
l2-068-ph-transfer,20,1,direct,2,ok,1,36819.447,1,17208,17208
l2-070-ph-worker,20,1,direct,2,ok,1,94756.472,1,15929,15929
l2-071-in-data-rights,20,1,direct,2,ok,1,52757.658,1,17648,17648
l2-072-in-breach,20,1,direct,2,ok,1,47029.209,2,14522,14522
l2-073-in-transfer,20,1,direct,2,ok,1,41092.314,2,13023,13023
l2-081-es-data-rights,20,1,direct,2,ok,1,74926.668,2,12890,12890
l2-082-es-breach,20,1,direct,2,ok,1,34376.201,3,13299,13299
l2-083-es-transfer,20,1,direct,2,ok,1,58410.645,2,23525,23525
l2-084-es-consumer,20,1,direct,2,ok,1,48080.872,4,19285,19285
l2-085-es-worker,20,1,direct,2,ok,1,44646.625,2,15423,15423
l2-086-it-data-rights,20,1,direct,2,ok,1,3395.992,0,,
l2-087-it-breach,20,1,direct,2,ok,1,10100.498,0,,
l2-088-it-transfer,20,1,direct,2,ok,1,5858.358,0,,
l2-089-it-consumer,20,1,direct,2,ok,1,13305.826,0,,
l2-090-it-worker,20,1,direct,2,ok,1,10480.749,0,,
l2-091-nl-data-rights,20,1,direct,2,ok,1,13693.317,0,,
l2-092-nl-breach,20,1,direct,2,ok,1,3750.076,0,,
l2-096-nz-data-rights,20,1,direct,2,ok,1,28288.919,3,10443,10443
l2-100-nz-worker,20,1,direct,2,ok,1,27217.595,3,7221,7221
l3-001-jp-transfer,20,1,direct,2,ok,1,169689.42,2,19781,19781
l3-002-jp-breach,20,1,direct,2,ok,1,63064.498,3,12712,12712
l3-005-jp-worker-ai,20,1,direct,2,ok,1,76339.057,4,4392,4392
l3-007-us-breach,20,1,direct,2,ok,1,117128.499,3,11809,11809
l3-008-us-consumer,20,1,direct,2,ok,1,56300.096,3,9845,9845
l3-010-us-worker-ai,20,1,direct,2,ok,1,53092.482,2,7175,7175
l3-011-cn-transfer,20,1,direct,2,ok,1,103853.067,3,9980,9980
l3-013-cn-consumer,20,1,direct,2,ok,1,72851.827,2,3970,3970
l3-014-cn-platform,20,1,direct,2,ok,1,98049.072,4,12239,12239
l3-015-cn-worker-ai,20,1,direct,2,ok,1,108438.406,2,8474,8474
l3-016-de-transfer,20,1,direct,2,ok,1,90566.017,2,12757,12757
l3-018-de-consumer,20,1,direct,2,ok,1,66228.674,6,10007,10007
l3-019-de-platform,20,1,direct,2,ok,1,72534.049,7,12938,12938
l3-020-de-worker-ai,20,1,direct,2,ok,1,80671.411,2,8368,8368
l3-023-fr-consumer,20,1,direct,2,ok,1,122478.995,4,18723,18723
l3-025-fr-worker-ai,20,1,direct,2,ok,1,106964.665,3,22180,22180
l3-026-uk-transfer,20,1,direct,2,ok,1,73873.216,3,13405,13405
l3-028-uk-consumer,20,1,direct,2,ok,1,99665.709,3,11856,11856
l3-030-uk-worker-ai,20,1,direct,2,ok,1,95634.742,4,14917,14917
l3-032-ca-breach,20,1,direct,2,ok,1,77667.071,7,10719,10719
l3-033-ca-consumer,20,1,direct,2,ok,1,59702.174,2,3365,3365
l3-037-au-breach,20,1,direct,2,ok,1,75529.536,2,5400,5400
l3-039-au-platform,20,1,direct,2,ok,1,141930.903,2,14860,14860
l3-041-sg-transfer,20,1,direct,2,ok,1,137698.955,2,20275,20275
l3-043-sg-consumer,20,1,direct,2,ok,1,99579.383,2,4226,4226
l3-045-sg-worker-ai,20,1,direct,2,ok,1,15299.007,0,,
l3-046-vn-transfer,20,1,direct,2,ok,1,115223.504,3,9992,9992
l3-047-vn-breach,20,1,direct,2,ok,1,97896.351,2,11749,11749
l3-053-th-consumer,20,1,direct,2,ok,1,68748.414,2,11856,11856
l3-054-th-platform,20,1,direct,2,ok,1,6013.375,0,,
l3-056-id-transfer,20,1,direct,2,ok,1,92393.809,1,12628,12628
l3-057-id-breach,20,1,direct,2,ok,1,90606.338,3,19466,19466
l3-058-id-consumer,20,1,direct,2,ok,1,87383.728,2,19316,19316
l3-059-id-platform,20,1,direct,2,ok,1,4171.785,0,,
l3-062-my-breach,20,1,direct,2,ok,1,81232.49,1,11749,11749
l3-063-my-consumer,20,1,direct,2,ok,1,9572.836,0,,
l3-065-my-worker-ai,20,1,direct,2,ok,1,123517.564,2,27008,27008
l3-066-ph-transfer,20,1,direct,2,ok,1,111999.638,2,16050,16050
l3-067-ph-breach,20,1,direct,2,ok,1,92897.602,2,25082,25082
l3-072-in-breach,20,1,direct,2,ok,1,9348.261,0,,
l3-073-in-consumer,20,1,direct,2,ok,1,40221.432,3,4404,4404
l3-075-in-worker-ai,20,1,direct,2,ok,1,53227.181,2,8368,8368
l3-078-br-consumer,20,1,direct,2,ok,1,108463.924,2,6798,6798
l3-079-br-platform,20,1,direct,2,ok,1,107410.585,1,18698,18698
l3-081-es-transfer,20,1,direct,2,ok,1,9901.283,0,,
l3-082-es-breach,20,1,direct,2,ok,1,159725.922,2,25082,25082
l3-088-it-consumer,20,1,direct,2,ok,1,9338.554,0,,
l3-092-nl-breach,20,1,direct,2,ok,1,11914.133,0,,
l3-098-nz-consumer,20,1,direct,2,ok,1,44572.857,3,7923,7923
l3-100-nz-worker-ai,20,1,direct,2,ok,1,101622.638,5,18432,18432
l4-001-jp-digital-platform,20,1,direct,2,ok,1,87253.417,3,14131,14131
l4-004-jp-fintech,20,1,direct,2,ok,1,42174.528,5,5369,5369
l4-008-us-online-sales,20,1,direct,2,ok,1,47398.105,2,9845,9845
l4-009-us-fintech,20,1,direct,2,ok,1,57091.97,6,12266,12266
l4-012-cn-automated-hiring,20,1,direct,2,ok,1,78978.397,5,8376,8376
l4-015-cn-manufacturer,20,1,direct,2,ok,1,65986.827,6,4731,4731
l4-016-de-digital-platform,20,1,direct,2,ok,1,38263.697,3,17609,17609
l4-020-de-manufacturer,20,1,direct,2,ok,1,37292.902,5,5341,5341
l4-021-fr-digital-platform,20,1,direct,2,ok,1,94591.144,2,21543,21543
l4-022-fr-automated-hiring,20,1,direct,2,ok,1,53270.491,4,27102,27102
l4-023-fr-online-sales,20,1,direct,2,ok,1,56542.11,4,19363,19363
l4-024-fr-fintech,20,1,direct,2,ok,1,68061.956,2,23838,23838
l4-027-uk-automated-hiring,20,1,direct,2,ok,1,52232.725,2,7731,7731
l4-029-uk-fintech,20,1,direct,2,ok,1,87569.017,3,6139,6139
l4-032-ca-automated-hiring,20,1,direct,2,ok,1,67009.015,4,15592,15592
l4-034-ca-fintech,20,1,direct,2,ok,1,51961.421,2,4181,4181
l4-036-au-digital-platform,20,1,direct,2,ok,1,60615.946,3,16258,16258
l4-038-au-online-sales,20,1,direct,2,ok,1,75310.093,1,9686,9686
l4-039-au-fintech,20,1,direct,2,ok,1,45091.244,3,15474,15474
l4-040-au-manufacturer,20,1,direct,2,ok,1,75101.584,4,8201,8201
l4-044-sg-fintech,20,1,direct,2,ok,1,62528.893,4,24359,24359
l4-045-sg-manufacturer,20,1,direct,2,ok,1,71716.612,3,2864,2864
l4-051-th-digital-platform,20,1,direct,2,ok,1,53893.607,1,11182,11182
l4-054-th-fintech,20,1,direct,2,ok,1,48172.916,3,3928,3928
